id,difficulty,question,option_a,option_b,option_c,option_d,answer,concept
686,medium,Why is a purge stream required in recycle systems? (Variant 229),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
687,hard,Which balance must always be satisfied? (Variant 229),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
688,easy,Which term is zero in steady-state mass balance? (Variant 230),Input,Output,Accumulation,Generation,2,mass_balance
689,medium,Why is a purge stream required in recycle systems? (Variant 230),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
690,hard,Which balance must always be satisfied? (Variant 230),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
691,easy,Which term is zero in steady-state mass balance? (Variant 231),Input,Output,Accumulation,Generation,2,mass_balance
692,medium,Why is a purge stream required in recycle systems? (Variant 231),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
693,hard,Which balance must always be satisfied? (Variant 231),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
694,easy,Which term is zero in steady-state mass balance? (Variant 232),Input,Output,Accumulation,Generation,2,mass_balance
695,medium,Why is a purge stream required in recycle systems? (Variant 232),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
696,hard,Which balance must always be satisfied? (Variant 232),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
697,easy,Which term is zero in steady-state mass balance? (Variant 233),Input,Output,Accumulation,Generation,2,mass_balance
698,medium,Why is a purge stream required in recycle systems? (Variant 233),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
699,hard,Which balance must always be satisfied? (Variant 233),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
700,easy,Which term is zero in steady-state mass balance? (Variant 234),Input,Output,Accumulation,Generation,2,mass_balance
701,medium,Why is a purge stream required in recycle systems? (Variant 234),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
702,hard,Which balance must always be satisfied? (Variant 234),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
703,easy,Which term is zero in steady-state mass balance? (Variant 235),Input,Output,Accumulation,Generation,2,mass_balance
704,medium,Why is a purge stream required in recycle systems? (Variant 235),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
705,hard,Which balance must always be satisfied? (Variant 235),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
706,easy,Which term is zero in steady-state mass balance? (Variant 236),Input,Output,Accumulation,Generation,2,mass_balance
707,medium,Why is a purge stream required in recycle systems? (Variant 236),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
708,hard,Which balance must always be satisfied? (Variant 236),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
709,easy,Which term is zero in steady-state mass balance? (Variant 237),Input,Output,Accumulation,Generation,2,mass_balance
710,medium,Why is a purge stream required in recycle systems? (Variant 237),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
711,hard,Which balance must always be satisfied? (Variant 237),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
712,easy,Which term is zero in steady-state mass balance? (Variant 238),Input,Output,Accumulation,Generation,2,mass_balance
713,medium,Why is a purge stream required in recycle systems? (Variant 238),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
714,hard,Which balance must always be satisfied? (Variant 238),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
715,easy,Which term is zero in steady-state mass balance? (Variant 239),Input,Output,Accumulation,Generation,2,mass_balance
716,medium,Why is a purge stream required in recycle systems? (Variant 239),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
717,hard,Which balance must always be satisfied? (Variant 239),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
718,easy,Which term is zero in steady-state mass balance? (Variant 240),Input,Output,Accumulation,Generation,2,mass_balance
719,medium,Why is a purge stream required in recycle systems? (Variant 240),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
720,hard,Which balance must always be satisfied? (Variant 240),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
721,easy,Which term is zero in steady-state mass balance? (Variant 241),Input,Output,Accumulation,Generation,2,mass_balance
722,medium,Why is a purge stream required in recycle systems? (Variant 241),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
723,hard,Which balance must always be satisfied? (Variant 241),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
724,easy,Which term is zero in steady-state mass balance? (Variant 242),Input,Output,Accumulation,Generation,2,mass_balance
725,medium,Why is a purge stream required in recycle systems? (Variant 242),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
726,hard,Which balance must always be satisfied? (Variant 242),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
727,easy,Which term is zero in steady-state mass balance? (Variant 243),Input,Output,Accumulation,Generation,2,mass_balance
728,medium,Why is a purge stream required in recycle systems? (Variant 243),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
729,hard,Which balance must always be satisfied? (Variant 243),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
730,easy,Which term is zero in steady-state mass balance? (Variant 244),Input,Output,Accumulation,Generation,2,mass_balance
731,medium,Why is a purge stream required in recycle systems? (Variant 244),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
732,hard,Which balance must always be satisfied? (Variant 244),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
733,easy,Which term is zero in steady-state mass balance? (Variant 245),Input,Output,Accumulation,Generation,2,mass_balance
734,medium,Why is a purge stream required in recycle systems? (Variant 245),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
735,hard,Which balance must always be satisfied? (Variant 245),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
736,easy,Which term is zero in steady-state mass balance? (Variant 246),Input,Output,Accumulation,Generation,2,mass_balance
737,medium,Why is a purge stream required in recycle systems? (Variant 246),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
738,hard,Which balance must always be satisfied? (Variant 246),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
739,easy,Which term is zero in steady-state mass balance? (Variant 247),Input,Output,Accumulation,Generation,2,mass_balance
740,medium,Why is a purge stream required in recycle systems? (Variant 247),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
741,hard,Which balance must always be satisfied? (Variant 247),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
742,easy,Which term is zero in steady-state mass balance? (Variant 248),Input,Output,Accumulation,Generation,2,mass_balance
743,medium,Why is a purge stream required in recycle systems? (Variant 248),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
744,hard,Which balance must always be satisfied? (Variant 248),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
745,easy,Which term is zero in steady-state mass balance? (Variant 249),Input,Output,Accumulation,Generation,2,mass_balance
746,medium,Why is a purge stream required in recycle systems? (Variant 249),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
747,hard,Which balance must always be satisfied? (Variant 249),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
748,easy,Which term is zero in steady-state mass balance? (Variant 250),Input,Output,Accumulation,Generation,2,mass_balance
749,medium,Why is a purge stream required in recycle systems? (Variant 250),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
750,hard,Which balance must always be satisfied? (Variant 250),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
751,easy,Which term is zero in steady-state mass balance? (Variant 251),Input,Output,Accumulation,Generation,2,mass_balance
752,medium,Why is a purge stream required in recycle systems? (Variant 251),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
753,hard,Which balance must always be satisfied? (Variant 251),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
754,easy,Which term is zero in steady-state mass balance? (Variant 252),Input,Output,Accumulation,Generation,2,mass_balance
755,medium,Why is a purge stream required in recycle systems? (Variant 252),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
756,hard,Which balance must always be satisfied? (Variant 252),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
757,easy,Which term is zero in steady-state mass balance? (Variant 253),Input,Output,Accumulation,Generation,2,mass_balance
758,medium,Why is a purge stream required in recycle systems? (Variant 253),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
759,hard,Which balance must always be satisfied? (Variant 253),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
760,easy,Which term is zero in steady-state mass balance? (Variant 254),Input,Output,Accumulation,Generation,2,mass_balance
761,medium,Why is a purge stream required in recycle systems? (Variant 254),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
762,hard,Which balance must always be satisfied? (Variant 254),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
763,easy,Which term is zero in steady-state mass balance? (Variant 255),Input,Output,Accumulation,Generation,2,mass_balance
764,medium,Why is a purge stream required in recycle systems? (Variant 255),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
765,hard,Which balance must always be satisfied? (Variant 255),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
766,easy,Which term is zero in steady-state mass balance? (Variant 256),Input,Output,Accumulation,Generation,2,mass_balance
767,medium,Why is a purge stream required in recycle systems? (Variant 256),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
768,hard,Which balance must always be satisfied? (Variant 256),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
769,easy,Which term is zero in steady-state mass balance? (Variant 257),Input,Output,Accumulation,Generation,2,mass_balance
770,medium,Why is a purge stream required in recycle systems? (Variant 257),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
771,hard,Which balance must always be satisfied? (Variant 257),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
772,easy,Which term is zero in steady-state mass balance? (Variant 258),Input,Output,Accumulation,Generation,2,mass_balance
773,medium,Why is a purge stream required in recycle systems? (Variant 258),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
774,hard,Which balance must always be satisfied? (Variant 258),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
775,easy,Which term is zero in steady-state mass balance? (Variant 259),Input,Output,Accumulation,Generation,2,mass_balance
776,medium,Why is a purge stream required in recycle systems? (Variant 259),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
777,hard,Which balance must always be satisfied? (Variant 259),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
778,easy,Which term is zero in steady-state mass balance? (Variant 260),Input,Output,Accumulation,Generation,2,mass_balance
779,medium,Why is a purge stream required in recycle systems? (Variant 260),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
780,hard,Which balance must always be satisfied? (Variant 260),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
781,easy,Which term is zero in steady-state mass balance? (Variant 261),Input,Output,Accumulation,Generation,2,mass_balance
782,medium,Why is a purge stream required in recycle systems? (Variant 261),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
783,hard,Which balance must always be satisfied? (Variant 261),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
784,easy,Which term is zero in steady-state mass balance? (Variant 262),Input,Output,Accumulation,Generation,2,mass_balance
785,medium,Why is a purge stream required in recycle systems? (Variant 262),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
786,hard,Which balance must always be satisfied? (Variant 262),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
787,easy,Which term is zero in steady-state mass balance? (Variant 263),Input,Output,Accumulation,Generation,2,mass_balance
788,medium,Why is a purge stream required in recycle systems? (Variant 263),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
789,hard,Which balance must always be satisfied? (Variant 263),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
790,easy,Which term is zero in steady-state mass balance? (Variant 264),Input,Output,Accumulation,Generation,2,mass_balance
791,medium,Why is a purge stream required in recycle systems? (Variant 264),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
792,hard,Which balance must always be satisfied? (Variant 264),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
793,easy,Which term is zero in steady-state mass balance? (Variant 265),Input,Output,Accumulation,Generation,2,mass_balance
794,medium,Why is a purge stream required in recycle systems? (Variant 265),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
795,hard,Which balance must always be satisfied? (Variant 265),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
796,easy,Which term is zero in steady-state mass balance? (Variant 266),Input,Output,Accumulation,Generation,2,mass_balance
797,medium,Why is a purge stream required in recycle systems? (Variant 266),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
798,hard,Which balance must always be satisfied? (Variant 266),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
799,easy,Which term is zero in steady-state mass balance? (Variant 267),Input,Output,Accumulation,Generation,2,mass_balance
800,medium,Why is a purge stream required in recycle systems? (Variant 267),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
801,hard,Which balance must always be satisfied? (Variant 267),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
802,easy,Which term is zero in steady-state mass balance? (Variant 268),Input,Output,Accumulation,Generation,2,mass_balance
803,medium,Why is a purge stream required in recycle systems? (Variant 268),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
804,hard,Which balance must always be satisfied? (Variant 268),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
805,easy,Which term is zero in steady-state mass balance? (Variant 269),Input,Output,Accumulation,Generation,2,mass_balance
806,medium,Why is a purge stream required in recycle systems? (Variant 269),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
807,hard,Which balance must always be satisfied? (Variant 269),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
808,easy,Which term is zero in steady-state mass balance? (Variant 270),Input,Output,Accumulation,Generation,2,mass_balance
809,medium,Why is a purge stream required in recycle systems? (Variant 270),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
810,hard,Which balance must always be satisfied? (Variant 270),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
811,easy,Which term is zero in steady-state mass balance? (Variant 271),Input,Output,Accumulation,Generation,2,mass_balance
812,medium,Why is a purge stream required in recycle systems? (Variant 271),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
813,hard,Which balance must always be satisfied? (Variant 271),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
814,easy,Which term is zero in steady-state mass balance? (Variant 272),Input,Output,Accumulation,Generation,2,mass_balance
815,medium,Why is a purge stream required in recycle systems? (Variant 272),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
816,hard,Which balance must always be satisfied? (Variant 272),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
817,easy,Which term is zero in steady-state mass balance? (Variant 273),Input,Output,Accumulation,Generation,2,mass_balance
818,medium,Why is a purge stream required in recycle systems? (Variant 273),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
819,hard,Which balance must always be satisfied? (Variant 273),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
820,easy,Which term is zero in steady-state mass balance? (Variant 274),Input,Output,Accumulation,Generation,2,mass_balance
821,medium,Why is a purge stream required in recycle systems? (Variant 274),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
822,hard,Which balance must always be satisfied? (Variant 274),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
823,easy,Which term is zero in steady-state mass balance? (Variant 275),Input,Output,Accumulation,Generation,2,mass_balance
824,medium,Why is a purge stream required in recycle systems? (Variant 275),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
825,hard,Which balance must always be satisfied? (Variant 275),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
826,easy,Which term is zero in steady-state mass balance? (Variant 276),Input,Output,Accumulation,Generation,2,mass_balance
827,medium,Why is a purge stream required in recycle systems? (Variant 276),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
828,hard,Which balance must always be satisfied? (Variant 276),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
829,easy,Which term is zero in steady-state mass balance? (Variant 277),Input,Output,Accumulation,Generation,2,mass_balance
830,medium,Why is a purge stream required in recycle systems? (Variant 277),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
831,hard,Which balance must always be satisfied? (Variant 277),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
832,easy,Which term is zero in steady-state mass balance? (Variant 278),Input,Output,Accumulation,Generation,2,mass_balance
833,medium,Why is a purge stream required in recycle systems? (Variant 278),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
834,hard,Which balance must always be satisfied? (Variant 278),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
835,easy,Which term is zero in steady-state mass balance? (Variant 279),Input,Output,Accumulation,Generation,2,mass_balance
836,medium,Why is a purge stream required in recycle systems? (Variant 279),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
837,hard,Which balance must always be satisfied? (Variant 279),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
838,easy,Which term is zero in steady-state mass balance? (Variant 280),Input,Output,Accumulation,Generation,2,mass_balance
839,medium,Why is a purge stream required in recycle systems? (Variant 280),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
840,hard,Which balance must always be satisfied? (Variant 280),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
841,easy,Which term is zero in steady-state mass balance? (Variant 281),Input,Output,Accumulation,Generation,2,mass_balance
842,medium,Why is a purge stream required in recycle systems? (Variant 281),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
843,hard,Which balance must always be satisfied? (Variant 281),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
844,easy,Which term is zero in steady-state mass balance? (Variant 282),Input,Output,Accumulation,Generation,2,mass_balance
845,medium,Why is a purge stream required in recycle systems? (Variant 282),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
846,hard,Which balance must always be satisfied? (Variant 282),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
847,easy,Which term is zero in steady-state mass balance? (Variant 283),Input,Output,Accumulation,Generation,2,mass_balance
848,medium,Why is a purge stream required in recycle systems? (Variant 283),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
849,hard,Which balance must always be satisfied? (Variant 283),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
850,easy,Which term is zero in steady-state mass balance? (Variant 284),Input,Output,Accumulation,Generation,2,mass_balance
851,medium,Why is a purge stream required in recycle systems? (Variant 284),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
852,hard,Which balance must always be satisfied? (Variant 284),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
853,easy,Which term is zero in steady-state mass balance? (Variant 285),Input,Output,Accumulation,Generation,2,mass_balance
854,medium,Why is a purge stream required in recycle systems? (Variant 285),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
855,hard,Which balance must always be satisfied? (Variant 285),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
856,easy,Which term is zero in steady-state mass balance? (Variant 286),Input,Output,Accumulation,Generation,2,mass_balance
857,medium,Why is a purge stream required in recycle systems? (Variant 286),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
858,hard,Which balance must always be satisfied? (Variant 286),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
859,easy,Which term is zero in steady-state mass balance? (Variant 287),Input,Output,Accumulation,Generation,2,mass_balance
860,medium,Why is a purge stream required in recycle systems? (Variant 287),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
861,hard,Which balance must always be satisfied? (Variant 287),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
862,easy,Which term is zero in steady-state mass balance? (Variant 288),Input,Output,Accumulation,Generation,2,mass_balance
863,medium,Why is a purge stream required in recycle systems? (Variant 288),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
864,hard,Which balance must always be satisfied? (Variant 288),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
865,easy,Which term is zero in steady-state mass balance? (Variant 289),Input,Output,Accumulation,Generation,2,mass_balance
866,medium,Why is a purge stream required in recycle systems? (Variant 289),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
867,hard,Which balance must always be satisfied? (Variant 289),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
868,easy,Which term is zero in steady-state mass balance? (Variant 290),Input,Output,Accumulation,Generation,2,mass_balance
869,medium,Why is a purge stream required in recycle systems? (Variant 290),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
870,hard,Which balance must always be satisfied? (Variant 290),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
871,easy,Which term is zero in steady-state mass balance? (Variant 291),Input,Output,Accumulation,Generation,2,mass_balance
872,medium,Why is a purge stream required in recycle systems? (Variant 291),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
873,hard,Which balance must always be satisfied? (Variant 291),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
874,easy,Which term is zero in steady-state mass balance? (Variant 292),Input,Output,Accumulation,Generation,2,mass_balance
875,medium,Why is a purge stream required in recycle systems? (Variant 292),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
876,hard,Which balance must always be satisfied? (Variant 292),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
877,easy,Which term is zero in steady-state mass balance? (Variant 293),Input,Output,Accumulation,Generation,2,mass_balance
878,medium,Why is a purge stream required in recycle systems? (Variant 293),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
879,hard,Which balance must always be satisfied? (Variant 293),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
880,easy,Which term is zero in steady-state mass balance? (Variant 294),Input,Output,Accumulation,Generation,2,mass_balance
881,medium,Why is a purge stream required in recycle systems? (Variant 294),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
882,hard,Which balance must always be satisfied? (Variant 294),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
883,easy,Which term is zero in steady-state mass balance? (Variant 295),Input,Output,Accumulation,Generation,2,mass_balance
884,medium,Why is a purge stream required in recycle systems? (Variant 295),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
885,hard,Which balance must always be satisfied? (Variant 295),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
886,easy,Which term is zero in steady-state mass balance? (Variant 296),Input,Output,Accumulation,Generation,2,mass_balance
887,medium,Why is a purge stream required in recycle systems? (Variant 296),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
888,hard,Which balance must always be satisfied? (Variant 296),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
889,easy,Which term is zero in steady-state mass balance? (Variant 297),Input,Output,Accumulation,Generation,2,mass_balance
890,medium,Why is a purge stream required in recycle systems? (Variant 297),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
891,hard,Which balance must always be satisfied? (Variant 297),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
892,easy,Which term is zero in steady-state mass balance? (Variant 298),Input,Output,Accumulation,Generation,2,mass_balance
893,medium,Why is a purge stream required in recycle systems? (Variant 298),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
894,hard,Which balance must always be satisfied? (Variant 298),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
895,easy,Which term is zero in steady-state mass balance? (Variant 299),Input,Output,Accumulation,Generation,2,mass_balance
896,medium,Why is a purge stream required in recycle systems? (Variant 299),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
897,hard,Which balance must always be satisfied? (Variant 299),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
898,easy,Which term is zero in steady-state mass balance? (Variant 300),Input,Output,Accumulation,Generation,2,mass_balance
899,medium,Why is a purge stream required in recycle systems? (Variant 300),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
900,hard,Which balance must always be satisfied? (Variant 300),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
901,easy,Which term is zero in steady-state mass balance? (Variant 301),Input,Output,Accumulation,Generation,2,mass_balance
902,medium,Why is a purge stream required in recycle systems? (Variant 301),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
903,hard,Which balance must always be satisfied? (Variant 301),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
904,easy,Which term is zero in steady-state mass balance? (Variant 302),Input,Output,Accumulation,Generation,2,mass_balance
905,medium,Why is a purge stream required in recycle systems? (Variant 302),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
906,hard,Which balance must always be satisfied? (Variant 302),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
907,easy,Which term is zero in steady-state mass balance? (Variant 303),Input,Output,Accumulation,Generation,2,mass_balance
908,medium,Why is a purge stream required in recycle systems? (Variant 303),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
909,hard,Which balance must always be satisfied? (Variant 303),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
910,easy,Which term is zero in steady-state mass balance? (Variant 304),Input,Output,Accumulation,Generation,2,mass_balance
911,medium,Why is a purge stream required in recycle systems? (Variant 304),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
912,hard,Which balance must always be satisfied? (Variant 304),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
913,easy,Which term is zero in steady-state mass balance? (Variant 305),Input,Output,Accumulation,Generation,2,mass_balance
